timeStep areaDensityCounting-PID5 areaDensityCounting-PID6 areaDensityCounting-PID7 areaDensityCounting-PID8 areaDensityCounting-PID9 areaDensityCounting-PID10 areaDensityCounting-PID11 areaDensityCounting-PID12 areaDensityCounting-PID13 areaDensityCounting-PID14 areaDensityCounting-PID15 areaDensityCounting-PID16 areaDensityCounting-PID17
1 0 0 10 0 10 6 0 0 10 0 10 0 6
2 0 0 10 0 10 6 0 0 10 1 9 0 6
3 1 3 7 2 15 10 2 0 14 5 5 0 10
4 1 4 6 4 16 11 5 0 16 4 4 1 11
5 3 4 6 6 14 12 7 0 14 5 3 4 12
6 3 5 7 7 13 13 7 2 13 5 3 5 13
7 5 5 8 8 12 12 9 1 12 6 2 6 14
8 6 5 8 8 12 10 10 1 10 5 3 7 13
9 7 5 9 6 14 9 8 1 11 7 2 7 13
10 7 5 9 6 14 9 7 1 12 6 3 7 13
11 7 5 9 8 12 9 7 1 12 6 3 7 13
12 6 5 9 8 12 10 9 1 11 5 3 7 13
13 7 5 9 8 12 9 10 1 10 5 3 6 14
14 6 5 9 8 12 10 9 1 10 5 3 6 14
15 6 6 8 8 12 10 9 1 11 5 3 7 13
16 5 6 9 8 12 10 9 1 12 5 2 8 12
17 5 6 9 8 12 9 8 2 12 5 2 7 13
18 5 6 9 8 12 9 9 2 11 5 2 7 13
19 6 7 9 8 12 8 10 1 11 6 2 6 14
20 6 6 10 8 12 8 11 1 11 5 2 7 13
21 6 6 10 8 12 8 11 1 11 4 3 7 13
22 6 5 11 8 12 8 9 1 12 4 4 8 12
23 5 5 11 8 12 9 10 1 11 4 4 8 12
24 5 5 11 8 12 9 9 2 11 4 4 8 12
25 5 5 11 8 12 9 11 1 10 3 5 7 13
26 5 5 11 8 12 9 11 1 10 3 5 7 13
27 5 5 11 8 12 9 10 1 11 3 5 7 13
28 5 5 11 8 12 9 10 1 11 3 5 8 12
29 5 5 11 8 12 9 11 0 11 5 3 8 12
30 5 5 11 8 12 9 11 1 10 5 3 8 12
31 5 5 11 8 12 9 11 1 10 5 3 8 12
32 5 5 11 8 12 9 11 1 10 5 3 9 11
33 5 5 11 8 12 8 11 1 10 4 4 9 11
34 5 6 10 8 12 8 9 1 11 5 4 10 10
